# 20260704_1136_precise_history
# 服务器地址	状态	有效次数	无效次数
113.101.245.171:9988	有效	22	1
113.104.237.199:7088	有效	2	20
113.104.238.176:7088	有效	4	16
113.119.24.33:58888	有效	7	13
113.119.27.46:58888	无效	0	20
113.119.25.118:58888	无效	0	20
113.119.27.156:58888	无效	0	19
113.83.248.166:4200	有效	5	13
119.131.89.211:4333	无效	0	18
113.119.25.146:58888	无效	0	15
113.119.25.161:58888	无效	0	14
113.83.248.193:4200	有效	2	11
113.83.248.194:4200	有效	6	5
113.119.27.114:58888	无效	0	11
113.110.77.235:8188	无效	0	9
113.119.27.112:58888	无效	0	8
119.131.89.90:4333	无效	0	8
113.119.24.239:58888	有效	4	2
113.77.240.147:6822	有效	5	0
113.83.248.138:4200	有效	4	1
113.119.26.68:58888	无效	0	5
113.104.238.151:7088	有效	1	2
113.90.237.134:8888	无效	0	3
113.119.27.158:58888	有效	2	0
113.119.27.115:58888	无效	0	2
119.131.89.248:4333	无效	0	2
113.83.248.44:4200	有效	1	0
