陕西电信-组播1,#genre#
宝鸡,http://36.46.98.59:8025/rtp/239.112.205.147:5140
宝鸡1,http://36.46.98.59:8025/rtp/239.112.205.143:5140
咸阳综合[720*576],http://36.46.98.59:8025/rtp/239.112.205.141:5140
渭南新闻,http://36.46.98.59:8025/rtp/239.110.205.37:9854
渭南新闻,http://36.46.98.59:8025/rtp/239.111.205.19:5140
渭南新闻[720*576],http://36.46.98.59:8025/rtp/239.111.205.94:5140
延安1[720*576],http://36.46.98.59:8025/rtp/239.112.205.169:5140
汉中,http://36.46.98.59:8025/rtp/239.112.205.215:5140
榆林1,http://36.46.98.59:8025/rtp/239.110.205.42:9882
榆林1[720*576],http://36.46.98.59:8025/rtp/239.112.205.177:5140
安康综合,http://36.46.98.59:8025/rtp/239.109.205.104:8768
安康综合,http://36.46.98.59:8025/rtp/239.112.205.216:5140
安康镇坪,http://36.46.98.59:8025/rtp/239.109.205.67:8472
安康镇坪,http://36.46.98.59:8025/rtp/239.111.205.27:5140
商洛,http://36.46.98.59:8025/rtp/239.109.205.69:8488
商洛,http://36.46.98.59:8025/rtp/239.112.205.189:5140

4K,http://36.46.98.59:8025/rtp/239.112.205.186:5140
CCTV16SDR,http://36.46.98.59:8025/rtp/239.111.205.134:5140
CCTV-1综艺,http://36.46.98.59:8025/rtp/239.112.205.59:5140
CCTV-3综合,http://36.46.98.59:8025/rtp/239.112.205.221:5140
CCTVNEWS,http://36.46.98.59:8025/rtp/239.109.205.13:8032
CGTN阿拉伯语高清,http://36.46.98.59:8025/rtp/239.111.205.86:5140
丝路,http://36.46.98.59:8025/rtp/239.110.205.40:9866
中视购物[768*576],http://36.46.98.59:8025/rtp/239.111.205.96:5140
佛坪,http://36.46.98.59:8025/rtp/239.112.205.229:5140
兴平融媒[785*576],http://36.46.98.59:8025/rtp/239.112.205.168:5140
农林卫视,http://36.46.98.59:8025/rtp/239.112.205.27:5140
凤翔,http://36.46.98.59:8025/rtp/239.111.205.244:5140
动作电影,http://36.46.98.59:8025/rtp/239.110.205.6:9770
勉县综合,http://36.46.98.59:8025/rtp/239.110.205.53:9938
勉县综合,http://36.46.98.59:8025/rtp/239.112.205.239:5140
千阳,http://36.46.98.59:8025/rtp/239.111.205.250:5140
华州综合,http://36.46.98.59:8025/rtp/239.109.205.93:8680
华州综合[768*576],http://36.46.98.59:8025/rtp/239.112.205.192:5140
华阴1,http://36.46.98.59:8025/rtp/239.109.205.63:8440
华阴[720*576],http://36.46.98.59:8025/rtp/239.112.205.193:5140
南郑,http://36.46.98.59:8025/rtp/239.110.205.82:7948
南郑,http://36.46.98.59:8025/rtp/239.111.205.8:5140
合阳,http://36.46.98.59:8025/rtp/239.109.205.92:8672
合阳,http://36.46.98.59:8025/rtp/239.112.205.190:5140
圆点影视,http://36.46.98.59:8025/rtp/239.111.205.64:5140
圆点生活,http://36.46.98.59:8025/rtp/239.109.205.192:9608
城固频道,http://36.46.98.59:8025/rtp/239.111.205.79:5140
太白,http://36.46.98.59:8025/rtp/239.111.205.251:5140
央广购物[768*576],http://36.46.98.59:8025/rtp/239.112.205.208:5140
宁强,http://36.46.98.59:8025/rtp/239.111.205.18:5140
富平,http://36.46.98.59:8025/rtp/239.109.205.71:8504
富平,http://36.46.98.59:8025/rtp/239.112.205.188:5140
岚皋,http://36.46.98.59:8025/rtp/239.111.205.248:5140
彬洲,http://36.46.98.59:8025/rtp/239.110.205.49:9922
