广东移动华为-组播1,#genre#
0-162,http://gaoxing.dns.army:10086/rtp/239.11.0.162:1025
0-163,http://gaoxing.dns.army:10086/rtp/239.10.0.163:1025
0-164,http://gaoxing.dns.army:10086/rtp/239.10.0.164:1025
0-165,http://gaoxing.dns.army:10086/rtp/239.10.0.165:1025
0-166,http://gaoxing.dns.army:10086/rtp/239.10.0.166:1025
0-167,http://gaoxing.dns.army:10086/rtp/239.10.0.167:1025
0-168,http://gaoxing.dns.army:10086/rtp/239.10.0.168:1025
0-168,http://gaoxing.dns.army:10086/rtp/239.11.0.168:1025
0-169,http://gaoxing.dns.army:10086/rtp/239.10.0.169:1025
0-170,http://gaoxing.dns.army:10086/rtp/239.10.0.170:1025
0-170,http://gaoxing.dns.army:10086/rtp/239.11.0.170:1025
0-172,http://gaoxing.dns.army:10086/rtp/239.10.0.172:1025
0-173,http://gaoxing.dns.army:10086/rtp/239.10.0.173:1025
0-174,http://gaoxing.dns.army:10086/rtp/239.10.0.174:1025
0-176,http://gaoxing.dns.army:10086/rtp/239.10.0.176:1025
0-178,http://gaoxing.dns.army:10086/rtp/239.10.0.178:1025
0-178,http://gaoxing.dns.army:10086/rtp/239.11.0.178:1025
0-184,http://gaoxing.dns.army:10086/rtp/239.11.0.184:1025
0-186,http://gaoxing.dns.army:10086/rtp/239.10.0.186:1025
0-186,http://gaoxing.dns.army:10086/rtp/239.11.0.186:1025
0-187,http://gaoxing.dns.army:10086/rtp/239.10.0.187:1025
0-187,http://gaoxing.dns.army:10086/rtp/239.11.0.187:1025
0-188,http://gaoxing.dns.army:10086/rtp/239.10.0.188:1025
0-188,http://gaoxing.dns.army:10086/rtp/239.11.0.188:1025
0-189,http://gaoxing.dns.army:10086/rtp/239.10.0.189:1025
0-189,http://gaoxing.dns.army:10086/rtp/239.11.0.189:1025
0-190,http://gaoxing.dns.army:10086/rtp/239.10.0.190:1025
0-191,http://gaoxing.dns.army:10086/rtp/239.10.0.191:1025
0-191,http://gaoxing.dns.army:10086/rtp/239.11.0.191:1025
0-192,http://gaoxing.dns.army:10086/rtp/239.10.0.192:1025
0-192,http://gaoxing.dns.army:10086/rtp/239.11.0.192:1025
0-193,http://gaoxing.dns.army:10086/rtp/239.10.0.193:1025
0-193,http://gaoxing.dns.army:10086/rtp/239.11.0.193:1025
0-194,http://gaoxing.dns.army:10086/rtp/239.10.0.194:1025
0-194,http://gaoxing.dns.army:10086/rtp/239.11.0.194:1025
0-195,http://gaoxing.dns.army:10086/rtp/239.10.0.195:1025
0-195,http://gaoxing.dns.army:10086/rtp/239.11.0.195:1025
0-196,http://gaoxing.dns.army:10086/rtp/239.10.0.196:1025
0-196,http://gaoxing.dns.army:10086/rtp/239.11.0.196:1025
0-197,http://gaoxing.dns.army:10086/rtp/239.11.0.197:1025
0-198,http://gaoxing.dns.army:10086/rtp/239.11.0.198:1025
0-199,http://gaoxing.dns.army:10086/rtp/239.10.0.199:1025
0-199,http://gaoxing.dns.army:10086/rtp/239.11.0.199:1025
0-200,http://gaoxing.dns.army:10086/rtp/239.11.0.200:1025
0-201,http://gaoxing.dns.army:10086/rtp/239.10.0.201:1025
0-201,http://gaoxing.dns.army:10086/rtp/239.11.0.201:1025
0-202,http://gaoxing.dns.army:10086/rtp/239.10.0.202:1025
0-202,http://gaoxing.dns.army:10086/rtp/239.11.0.202:1025
0-203,http://gaoxing.dns.army:10086/rtp/239.11.0.203:1025
0-204,http://gaoxing.dns.army:10086/rtp/239.11.0.204:1025
0-205,http://gaoxing.dns.army:10086/rtp/239.11.0.205:1025
0-206,http://gaoxing.dns.army:10086/rtp/239.11.0.206:1025
0-207,http://gaoxing.dns.army:10086/rtp/239.11.0.207:1025
0-208,http://gaoxing.dns.army:10086/rtp/239.11.0.208:1025
0-209,http://gaoxing.dns.army:10086/rtp/239.11.0.209:1025
0-219,http://gaoxing.dns.army:10086/rtp/239.10.0.219:1025
0-223,http://gaoxing.dns.army:10086/rtp/239.10.0.223:1025
0-236,http://gaoxing.dns.army:10086/rtp/239.10.0.236:1025
0-238,http://gaoxing.dns.army:10086/rtp/239.10.0.238:1025
0-239,http://gaoxing.dns.army:10086/rtp/239.10.0.239:1025
0-242,http://gaoxing.dns.army:10086/rtp/239.10.0.242:1025
0-243,http://gaoxing.dns.army:10086/rtp/239.10.0.243:1025
0-253,http://gaoxing.dns.army:10086/rtp/239.10.0.253:1025
0-254,http://gaoxing.dns.army:10086/rtp/239.10.0.254:1025
CBN幸福剧场,http://gaoxing.dns.army:10086/rtp/239.11.0.165:1025
CBN幸福娱乐,http://gaoxing.dns.army:10086/rtp/239.11.0.166:1025
CBN每日影院,http://gaoxing.dns.army:10086/rtp/239.11.0.163:1025
CBN风尚生活,http://gaoxing.dns.army:10086/rtp/239.11.0.164:1025
CCTV央视网球,http://gaoxing.dns.army:10086/rtp/239.11.0.61:1025
CCTV文化精品,http://gaoxing.dns.army:10086/rtp/239.11.0.66:1025
CGTN纪录,http://gaoxing.dns.army:10086/rtp/239.11.0.104:1025
南国都市-4K,http://gaoxing.dns.army:10086/rtp/239.11.0.170:1025
求索生活,http://gaoxing.dns.army:10086/rtp/239.10.0.86:1025
现代教育,http://gaoxing.dns.army:10086/rtp/239.10.0.138:1025
百视通直播室101,http://gaoxing.dns.army:10086/rtp/239.10.0.90:1025
百视通直播室102,http://gaoxing.dns.army:10086/rtp/239.10.0.91:1025
百视通直播室103,http://gaoxing.dns.army:10086/rtp/239.10.0.92:1025
百视通直播室104,http://gaoxing.dns.army:10086/rtp/239.10.0.93:1025
百视通直播室105,http://gaoxing.dns.army:10086/rtp/239.10.0.94:1025
百视通直播室106,http://gaoxing.dns.army:10086/rtp/239.10.0.95:1025
百视通直播室107,http://gaoxing.dns.army:10086/rtp/239.10.0.96:1025
