山东电信-组播1,#genre#
北京卡酷少儿,http://123.168.94.252:4000/rtp/239.21.2.120:5002
浙江求索纪录,http://123.168.94.252:4000/rtp/239.21.2.159:5002
湖南快乐垂钓,http://123.168.94.252:4000/rtp/239.21.2.97:5002
湖南茶频道,http://123.168.94.252:4000/rtp/239.21.2.110:5002
湖南金鹰纪实,http://123.168.94.252:4000/rtp/239.21.1.170:5002
湖南金鹰卡通,http://123.168.94.252:4000/rtp/239.21.2.121:5002
河南梨园频道,http://123.168.94.252:4000/rtp/239.21.2.101:5002
河南武术世界,http://123.168.94.252:4000/rtp/239.21.2.96:5002
河南文物宝库,http://123.168.94.252:4000/rtp/239.21.2.109:5002
上海财富天下,http://123.168.94.252:4000/rtp/239.21.1.127:5002
上海东方财经,http://123.168.94.252:4000/rtp/239.21.2.108:5002
上海法治天地,http://123.168.94.252:4000/rtp/239.21.2.105:5002
上海生活时尚,http://123.168.94.252:4000/rtp/239.21.2.103:5002
上海都市剧场,http://123.168.94.252:4000/rtp/239.21.2.90:5002
上海游戏风云,http://123.168.94.252:4000/rtp/239.21.2.107:5002
上海动漫秀场,http://123.168.94.252:4000/rtp/239.21.2.92:5002
上海乐游,http://123.168.94.252:4000/rtp/239.21.2.104:5002
上海金色学堂,http://123.168.94.252:4000/rtp/239.21.2.102:5002
广东嘉佳卡通,http://123.168.94.252:4000/rtp/239.21.2.5:5002
江苏优漫卡通,http://123.168.94.252:4000/rtp/239.21.1.50:5002
中国交通,http://123.168.94.252:4000/rtp/239.21.1.115:5002

东营公共,http://123.168.94.252:4000/rtp/239.21.1.82:5002
东营新闻,http://123.168.94.252:4000/rtp/239.21.1.81:5002
山东体育频道,http://123.168.94.252:4000/rtp/239.21.1.141:5002
山东农科频道,http://123.168.94.252:4000/rtp/239.21.1.183:5002
山东少儿频道,http://123.168.94.252:4000/rtp/239.21.1.208:5002
山东教育频道,http://123.168.94.252:4000/rtp/239.21.1.169:5002
山东文旅频道,http://123.168.94.252:4000/rtp/239.21.1.176:5002
山东新闻频道,http://123.168.94.252:4000/rtp/239.21.1.140:5002
山东生活频道,http://123.168.94.252:4000/rtp/239.21.1.175:5002
山东综艺频道,http://123.168.94.252:4000/rtp/239.21.1.177:5002
山东齐鲁频道,http://123.168.94.252:4000/rtp/239.21.1.134:5002
德州新闻综合,http://123.168.94.252:4000/rtp/239.21.1.75:5002
德州经济生活,http://123.168.94.252:4000/rtp/239.21.1.76:5002
日照岚山频道,http://123.168.94.252:4000/rtp/239.21.1.209:5002
日照新闻,http://123.168.94.252:4000/rtp/239.21.1.79:5002
日照科教,http://123.168.94.252:4000/rtp/239.21.1.80:5002
日照莒县TV-1,http://123.168.94.252:4000/rtp/239.21.1.236:5002
济南娱乐,http://123.168.94.252:4000/rtp/239.21.1.66:5002
济南少儿,http://123.168.94.252:4000/rtp/239.21.1.68:5002
济南影视,http://123.168.94.252:4000/rtp/239.21.1.65:5002
济南教育频道,http://123.168.94.252:4000/rtp/239.21.1.133:5002
济南新闻,http://123.168.94.252:4000/rtp/239.21.1.62:5002
济南新闻综合,http://123.168.94.252:4000/rtp/239.21.1.94:5002
济南生活,http://123.168.94.252:4000/rtp/239.21.1.64:5002
济南都市,http://123.168.94.252:4000/rtp/239.21.1.63:5002
