四川电信-组播1,#genre#
湖北快乐垂钓,http://171.88.107.244:8118/udp/239.94.1.153:5140
湖南先锋乒羽,http://171.88.107.244:8118/udp/239.94.1.151:5140
湖南茶频道,http://171.88.107.244:8118/udp/239.93.0.114:5140
湖南茶频道,http://171.88.107.244:8118/udp/239.94.1.154:5140
湖南金鹰纪实,http://171.88.107.244:8118/udp/239.94.1.1:5140
湖南金鹰卡通,http://171.88.107.244:8118/udp/239.94.1.30:5140
广东嘉佳卡通,http://171.88.107.244:8118/udp/239.94.1.10:5140
贵州天元围棋,http://171.88.107.244:8118/udp/239.93.42.55:5140
贵州天元围棋,http://171.88.107.244:8118/udp/239.94.1.152:5140

湖南快乐垂钓,http://171.88.107.244:8118/udp/239.93.1.151:5140
成都公共频道,http://171.88.107.244:8118/udp/239.93.1.231:5140
成都少儿频道,http://171.88.107.244:8118/udp/239.93.0.21:1251
成都影视频道,http://171.88.107.244:8118/udp/239.93.0.19:1250
成都生活频道,http://171.88.107.244:8118/udp/239.93.0.18:1238
成都经济频道,http://171.88.107.244:8118/udp/239.93.0.17:1239
成都综合频道,http://171.88.107.244:8118/udp/239.93.0.16:5140
自贡文化生活高清,http://171.88.107.244:8118/udp/239.94.0.178:5140
自贡综合高清,http://171.88.107.244:8118/udp/239.94.0.169:5140
攀枝花新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.168:5140
泸州新闻综合,http://171.88.107.244:8118/udp/239.94.0.163:5140
泸州科教生活,http://171.88.107.244:8118/udp/239.94.0.182:5140
德阳文旅科教高清,http://171.88.107.244:8118/udp/239.94.0.165:5140
德阳新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.176:5140
广元文化生活高清,http://171.88.107.244:8118/udp/239.94.0.179:5140
广元综合高清,http://171.88.107.244:8118/udp/239.94.0.167:5140
内江科教生活高清,http://171.88.107.244:8118/udp/239.94.0.181:5140
内江综合高清,http://171.88.107.244:8118/udp/239.94.0.164:5140
乐山文旅生活高清,http://171.88.107.244:8118/udp/239.94.0.173:5140
乐山新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.162:5140
眉山文旅乡村高清,http://171.88.107.244:8118/udp/239.94.0.174:5140
眉山综合高清,http://171.88.107.244:8118/udp/239.94.0.170:5140
宜宾公共频道高清,http://171.88.107.244:8118/udp/239.94.0.172:5140
宜宾新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.161:5140
雅安文化生活高清,http://171.88.107.244:8118/udp/239.94.0.180:5140
雅安新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.166:5140
资阳新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.183:5140
凉山彝语综合高清,http://171.88.107.244:8118/udp/239.94.0.175:5140
凉山新闻综合高清,http://171.88.107.244:8118/udp/239.94.0.171:5140
陕西农林,http://171.88.107.244:8118/udp/239.94.0.108:5140

4K乐享超清,http://171.88.107.244:8118/udp/239.93.0.43:5140
4K乐享超清专区,http://171.88.107.244:8118/udp/239.94.1.162:5140
4K少儿,http://171.88.107.244:8118/udp/239.94.1.70:5140
4K纪实,http://171.88.107.244:8118/udp/239.94.1.69:5140
4K视界专区,http://171.88.107.244:8118/udp/239.94.1.60:5140
CCTV-高尔夫网球,http://171.88.107.244:8118/udp/239.93.1.54:5140
CDTV-1综合高清,http://171.88.107.244:8118/udp/239.94.0.154:5140
CDTV-2经济高清,http://171.88.107.244:8118/udp/239.94.0.155:5140
CDTV-3生活高清,http://171.88.107.244:8118/udp/239.94.0.156:5140
CDTV-4影视高清,http://171.88.107.244:8118/udp/239.94.0.157:5140
CDTV-5公共高清,http://171.88.107.244:8118/udp/239.94.0.158:5140
CDTV-6少儿高清,http://171.88.107.244:8118/udp/239.94.0.159:5140
CDTV-8每日购物高清,http://171.88.107.244:8118/udp/239.94.0.160:5140
CGTN西班牙语,http://171.88.107.244:8118/udp/239.93.42.49:5140
CGTN西班牙语,http://171.88.107.244:8118/udp/239.94.1.61:5140
CHANNEL-V,http://171.88.107.244:8118/udp/239.93.0.157:2194
CHANNEL[V],http://171.88.107.244:8118/udp/239.94.2.55:5140
SCTV-2经济高清,http://171.88.107.244:8118/udp/239.94.0.70:5140
SCTV-3文化旅游高清,http://171.88.107.244:8118/udp/239.94.0.71:5140
SCTV-4新闻高清,http://171.88.107.244:8118/udp/239.94.0.72:5140
SCTV-5影视文艺高清,http://171.88.107.244:8118/udp/239.94.0.73:5140
SCTV-6星空购物高清,http://171.88.107.244:8118/udp/239.94.0.74:5140
SCTV-7妇女儿童高清,http://171.88.107.244:8118/udp/239.94.0.75:5140
SCTV-科教高清,http://171.88.107.244:8118/udp/239.94.0.76:5140
