广东移动-组播1,#genre#
CBN风尚生活,http://120.234.187.66:10086/udp/239.11.0.164:1025
CCTV-4k,http://120.234.187.66:10086/rtp/239.21.0.123:3836
CCTV-4k,http://120.234.187.66:10086/rtp/239.21.0.124:3840
CCTV央视网球,http://120.234.187.66:10086/rtp/239.11.0.61:1025
CCTV文化精品,http://120.234.187.66:10086/rtp/239.11.0.66:1025
CCTV高尔夫网球,http://120.234.187.66:10086/rtp/239.21.0.72:3628
CGTN纪录,http://120.234.187.66:10086/rtp/239.21.0.110:3780
CGTN纪录,http://120.234.187.66:10086/rtp/239.11.0.104:1025
GCTN,http://120.234.187.66:10086/rtp/239.20.0.186:2170
华数电影,http://120.234.187.66:10086/rtp/239.20.0.232:2262
华数电视剧,http://120.234.187.66:10086/rtp/239.20.0.234:2266
求索记录,http://120.234.187.66:10086/rtp/239.11.0.128:1025
现代教育,http://120.234.187.66:10086/rtp/239.20.0.128:2054
现代教育,http://120.234.187.66:10086/rtp/239.21.0.148:3936
现代教育,http://120.234.187.66:10086/rtp/239.10.0.138:1025
