四川移动-组播1,#genre#
华数城市剧场,http://183.222.15.202:4321/rtp/239.10.0.124:5140
华数军旅剧场,http://183.222.15.202:4321/rtp/239.10.0.125:5140
华数动画,http://183.222.15.202:4321/rtp/239.10.0.163:5140
华数谍战剧场,http://183.222.15.202:4321/rtp/239.10.0.123:5140
华数武侠剧场,http://183.222.15.202:4321/rtp/239.10.0.133:5140
iHOT爱谍战,http://183.222.15.202:4321/rtp/239.10.0.152:5140
iHOT爱动漫,http://183.222.15.202:4321/rtp/239.10.0.165:5140
iHOT爱都市,http://183.222.15.202:4321/rtp/239.10.0.154:5140
iHOT爱科幻,http://183.222.15.202:4321/rtp/239.10.0.146:5140
iHOT爱浪漫,http://183.222.15.202:4321/rtp/239.10.0.148:5140
iHOT爱奇谈,http://183.222.15.202:4321/rtp/239.10.0.162:5140
iHOT爱体育,http://183.222.15.202:4321/rtp/239.10.0.170:5140
iHOT爱悬疑,http://183.222.15.202:4321/rtp/239.10.0.149:5140
