江苏电信-组播1,#genre#
湖南卫视,http://114.226.212.138:8787/udp/239.49.8.12:9418
湖南卫视,http://114.226.212.138:8787/udp/239.49.8.142:6000
浙江卫视,http://114.226.212.138:8787/udp/239.49.8.20:9618
浙江卫视,http://114.226.212.138:8787/udp/239.49.8.139:6000
北京卫视,http://114.226.212.138:8787/udp/239.49.8.11:9414
北京卫视,http://114.226.212.138:8787/udp/239.49.8.141:6000
东方卫视,http://114.226.212.138:8787/udp/239.49.8.17:9606
东方卫视,http://114.226.212.138:8787/udp/239.49.8.140:6000
安徽卫视,http://114.226.212.138:8787/udp/239.49.8.80:8000
安徽卫视,http://114.226.212.138:8787/udp/239.49.8.204:6000
广东卫视,http://114.226.212.138:8787/udp/239.49.8.13:9422
广东卫视,http://114.226.212.138:8787/udp/239.49.8.143:6000
深圳卫视,http://114.226.212.138:8787/udp/239.49.8.15:9430
深圳卫视,http://114.226.212.138:8787/udp/239.49.8.145:6000
辽宁卫视,http://114.226.212.138:8787/udp/239.49.8.48:8000
山东卫视,http://114.226.212.138:8787/udp/239.49.8.7:9306
山东卫视,http://114.226.212.138:8787/udp/239.49.8.146:6000
山东教育卫视,http://114.226.212.138:8787/udp/239.49.0.252:8000
天津卫视,http://114.226.212.138:8787/udp/239.49.8.35:8620
天津卫视,http://114.226.212.138:8787/udp/239.49.8.148:6000
重庆卫视,http://114.226.212.138:8787/udp/239.49.8.57:9830
重庆卫视,http://114.226.212.138:8787/udp/239.49.8.149:6000
东南卫视,http://114.226.212.138:8787/udp/239.49.8.112:8000
河北卫视,http://114.226.212.138:8787/udp/239.49.8.114:8000
河北卫视,http://114.226.212.138:8787/udp/239.49.8.188:6000
河南卫视,http://114.226.212.138:8787/udp/239.49.8.29:8000
湖北卫视,http://114.226.212.138:8787/udp/239.49.8.8:9632
湖北卫视,http://114.226.212.138:8787/udp/239.49.8.147:6000
陕西卫视,http://114.226.212.138:8787/udp/239.49.1.74:8000
四川卫视,http://114.226.212.138:8787/udp/239.49.8.110:8000
海南卫视,http://114.226.212.138:8787/udp/239.49.8.83:8000
甘肃卫视,http://114.226.212.138:8787/udp/239.49.0.250:8000
广西卫视,http://114.226.212.138:8787/udp/239.49.8.10:8000
贵州卫视,http://114.226.212.138:8787/udp/239.49.8.49:8000
黑龙江卫视,http://114.226.212.138:8787/udp/239.49.8.14:9426
黑龙江卫视,http://114.226.212.138:8787/udp/239.49.8.144:6000
江西卫视,http://114.226.212.138:8787/udp/239.49.8.111:8000
江西卫视,http://114.226.212.138:8787/udp/239.49.8.185:6000
吉林卫视,http://114.226.212.138:8787/udp/239.49.8.113:8000
内蒙古卫视,http://114.226.212.138:8787/udp/239.49.1.75:8000
宁夏卫视,http://114.226.212.138:8787/udp/239.49.1.60:8000
山西卫视,http://114.226.212.138:8787/udp/239.49.1.55:8000
新疆卫视,http://114.226.212.138:8787/udp/239.49.1.57:8000
云南卫视,http://114.226.212.138:8787/udp/239.49.0.177:8000
青海卫视,http://114.226.212.138:8787/udp/239.49.0.81:8000
西藏卫视,http://114.226.212.138:8787/udp/239.49.1.56:8000
兵团卫视,http://114.226.212.138:8787/udp/239.49.1.58:8000
三沙卫视,http://114.226.212.138:8787/udp/239.49.0.167:8000
湖南卫视4K,http://114.226.212.138:8787/udp/239.49.1.68:8000
湖南卫视4K,http://114.226.212.138:8787/udp/239.49.1.67:8000
浙江卫视4K,http://114.226.212.138:8787/udp/239.49.1.64:8000
浙江卫视4K,http://114.226.212.138:8787/udp/239.49.1.63:8000
北京卫视4K,http://114.226.212.138:8787/udp/239.49.0.253:8000
北京卫视4K,http://114.226.212.138:8787/udp/239.49.0.42:8000
东方卫视4K,http://114.226.212.138:8787/udp/239.49.1.70:8000
东方卫视4K,http://114.226.212.138:8787/udp/239.49.1.69:8000
广东卫视4K,http://114.226.212.138:8787/udp/239.49.1.26:8000
广东卫视4K,http://114.226.212.138:8787/udp/239.49.1.24:8000
深圳卫视4K,http://114.226.212.138:8787/udp/239.49.1.28:8000
深圳卫视4K,http://114.226.212.138:8787/udp/239.49.1.27:8000
山东卫视4K,http://114.226.212.138:8787/udp/239.49.1.72:8000
山东卫视4K,http://114.226.212.138:8787/udp/239.49.1.71:8000
四川卫视4K,http://114.226.212.138:8787/udp/239.49.1.66:8000
四川卫视4K,http://114.226.212.138:8787/udp/239.49.1.65:8000
CGTN英语,http://114.226.212.138:8787/udp/239.49.0.9:8064
CGTN英语,http://114.226.212.138:8787/udp/239.49.1.9:6000
CGTN西班牙语,http://114.226.212.138:8787/udp/239.49.1.30:8000
CGTN法语,http://114.226.212.138:8787/udp/239.49.1.31:8000
CGTN俄语,http://114.226.212.138:8787/udp/239.49.0.111:8000
CETV-1综合教育,http://114.226.212.138:8787/udp/239.49.8.115:8000
CETV-1综合教育,http://114.226.212.138:8787/udp/239.49.0.70:8552
CETV-2空中课堂,http://114.226.212.138:8787/udp/239.49.0.71:8560
CETV-4职业教育,http://114.226.212.138:8787/udp/239.49.0.125:8000
CETV-4职业教育,http://114.226.212.138:8787/udp/239.49.0.72:8568
聚鲨环球精选,http://114.226.212.138:8787/udp/239.49.0.212:8000
中学生,http://114.226.212.138:8787/udp/239.49.1.82:8000
中国天气,http://114.226.212.138:8787/udp/239.49.0.94:8000
睛彩竞技,http://114.226.212.138:8787/udp/239.49.8.39:8000
睛彩广场舞,http://114.226.212.138:8787/udp/239.49.8.64:8000
睛彩青少,http://114.226.212.138:8787/udp/239.49.8.46:8000
睛彩篮球,http://114.226.212.138:8787/udp/239.49.8.42:8000
江苏优漫卡通,http://114.226.212.138:8787/udp/239.49.8.119:8000
江苏优漫卡通,http://114.226.212.138:8787/udp/239.49.0.21:8160
江苏优漫卡通,http://114.226.212.138:8787/udp/239.49.1.21:6000
北京四海钓鱼,http://114.226.212.138:8787/udp/239.49.1.80:8000
北京卡酷少儿,http://114.226.212.138:8787/udp/239.49.0.148:8000
山西书画频道,http://114.226.212.138:8787/udp/239.49.0.123:8000
上海东方财经,http://114.226.212.138:8787/udp/239.49.0.95:8000
上海法治天地,http://114.226.212.138:8787/udp/239.49.0.96:8000
上海都市剧场,http://114.226.212.138:8787/udp/239.49.0.99:8000
上海生活时尚,http://114.226.212.138:8787/udp/239.49.0.97:8000
上海第一财经,http://114.226.212.138:8787/udp/239.49.8.37:8000
上海第一财经,http://114.226.212.138:8787/udp/239.49.0.30:8232
江苏财富天下,http://114.226.212.138:8787/udp/239.49.1.76:8000
河南梨园,http://114.226.212.138:8787/udp/239.49.8.193:8000
河南武术世界,http://114.226.212.138:8787/udp/239.49.0.205:8000
河南文物宝库,http://114.226.212.138:8787/udp/239.49.0.209:8000
湖北快乐垂钓,http://114.226.212.138:8787/udp/239.49.0.114:8000
湖南茶频道,http://114.226.212.138:8787/udp/239.49.0.146:8000
湖南金鹰纪实,http://114.226.212.138:8787/udp/239.49.8.79:8000
湖南金鹰卡通,http://114.226.212.138:8787/udp/239.49.8.33:8000
贵州天元围棋,http://114.226.212.138:8787/udp/239.49.1.79:8000
精彩推荐,http://114.226.212.138:8787/udp/239.49.0.190:9458
精彩推荐,http://114.226.212.138:8787/udp/239.49.8.34:8612

南京少儿,http://114.226.212.138:8787/udp/239.49.0.45:8000
南京影视,http://114.226.212.138:8787/udp/239.49.0.24:8000
南京文旅纪录,http://114.226.212.138:8787/udp/239.49.0.38:8000
南京新闻综合,http://114.226.212.138:8787/udp/239.49.0.25:8192
南京生活频道,http://114.226.212.138:8787/udp/239.49.0.26:8200
南京科教频道,http://114.226.212.138:8787/udp/239.49.0.183:9434
南京高淳新闻,http://114.226.212.138:8787/udp/239.49.0.74:8000
无锡新闻综合,http://114.226.212.138:8787/udp/239.49.1.77:8000
无锡都市资讯,http://114.226.212.138:8787/udp/239.49.1.78:8000
徐州1,http://114.226.212.138:8787/udp/239.49.0.203:8000
徐州2,http://114.226.212.138:8787/udp/239.49.0.199:8000
徐州3,http://114.226.212.138:8787/udp/239.49.0.211:8000
徐州新沂1,http://114.226.212.138:8787/udp/239.49.0.238:8000
徐州沛县新闻综合,http://114.226.212.138:8787/udp/239.49.0.214:8000
徐州睢宁综合,http://114.226.212.138:8787/udp/239.49.0.239:8000
徐州贾汪新闻,http://114.226.212.138:8787/udp/239.49.0.248:8000
徐州邳州综合,http://114.226.212.138:8787/udp/239.49.0.182:8000
徐州铜山1,http://114.226.212.138:8787/udp/239.49.0.163:8000
新沂生活,http://114.226.212.138:8787/udp/239.49.0.124:8000
常州公共,http://114.226.212.138:8787/udp/239.49.0.218:9582
常州新闻综合,http://114.226.212.138:8787/udp/239.49.1.83:8000
常州生活,http://114.226.212.138:8787/udp/239.49.1.85:8000
