北京联通-组播1,#genre#
IPTV15音乐现场,http://n2.192372.xyz:8888/rtp/239.3.1.70:4120
IPTV3＋,http://n2.192372.xyz:8888/rtp/239.3.1.198:9004
IPTV5＋,http://n2.192372.xyz:8888/rtp/239.3.1.237:4120
IPTV5＋,http://n2.192372.xyz:8888/rtp/239.3.1.200:9008
IPTV6＋,http://n2.192372.xyz:8888/rtp/239.3.1.197:9016
IPTV7军事,http://n2.192372.xyz:8888/rtp/239.3.1.76:4120
IPTV8＋,http://n2.192372.xyz:8888/rtp/239.3.1.201:8072
IPTV台球,http://n2.192372.xyz:8888/rtp/239.3.1.85:4120
IPTV国学,http://n2.192372.xyz:8888/rtp/239.3.1.77:4120
IPTV地理,http://n2.192372.xyz:8888/rtp/239.3.1.71:4120
IPTV墨宝,http://n2.192372.xyz:8888/rtp/239.3.1.83:4120
IPTV好学生,http://n2.192372.xyz:8888/rtp/239.3.1.81:4120
IPTV收视指南,http://n2.192372.xyz:8888/rtp/239.3.1.193:8012
IPTV武术,http://n2.192372.xyz:8888/rtp/239.3.1.87:4120
IPTV爱生活,http://n2.192372.xyz:8888/rtp/239.3.1.86:4120
IPTV美人,http://n2.192372.xyz:8888/rtp/239.3.1.73:4120
IPTV美妆,http://n2.192372.xyz:8888/rtp/239.3.1.72:4120
IPTV足球,http://n2.192372.xyz:8888/rtp/239.3.1.89:4120
IPTV鉴赏,http://n2.192372.xyz:8888/rtp/239.3.1.82:4120
上海纪实人文,http://n2.192372.xyz:8888/rtp/239.3.1.212:8060
江苏财富天下,http://n2.192372.xyz:8888/rtp/239.3.1.53:9136
湖南茶频道,http://n2.192372.xyz:8888/rtp/239.3.1.165:8001
湖南金鹰纪实,http://n2.192372.xyz:8888/rtp/239.3.1.58:8156
湖南金鹰卡通,http://n2.192372.xyz:8888/rtp/239.3.1.51:9252
广东嘉佳卡通,http://n2.192372.xyz:8888/rtp/239.3.1.147:9268
光影,http://n2.192372.xyz:8888/rtp/239.3.1.84:4120
睛彩羽毛球,http://n2.192372.xyz:8888/rtp/239.3.1.127:8001

房山电视台,http://n2.192372.xyz:8888/rtp/239.3.1.96:8001
通州融媒,http://n2.192372.xyz:8888/rtp/239.3.1.221:8001
密云电视台,http://n2.192372.xyz:8888/rtp/239.3.1.154:8001
延庆电视台,http://n2.192372.xyz:8888/rtp/239.3.1.187:8001
朝阳融媒,http://n2.192372.xyz:8888/rtp/239.3.1.163:8001
湖南快乐垂钓,http://n2.192372.xyz:8888/rtp/239.3.1.164:8001

4K测试,http://n2.192372.xyz:8888/rtp/239.3.1.104:8001
CGTN纪录,http://n2.192372.xyz:8888/rtp/239.3.1.216:4220
CGTN西班牙语,http://n2.192372.xyz:8888/rtp/239.3.1.217:4220
CGTN阿拉伯语,http://n2.192372.xyz:8888/rtp/239.3.1.219:4220
南方卫视,http://n2.192372.xyz:8888/rtp/239.3.1.161:8001
总平台测试1,http://n2.192372.xyz:8888/rtp/239.3.1.247:2000
总平台测试2,http://n2.192372.xyz:8888/rtp/239.3.1.248:2000
测试,http://n2.192372.xyz:8888/rtp/239.3.1.103:8001
淘精彩,http://n2.192372.xyz:8888/rtp/239.3.1.178:8001
熊猫频道,http://n2.192372.xyz:8888/rtp/239.3.1.66:8068
聚鲨环球,http://n2.192372.xyz:8888/rtp/239.3.1.160:8001
轮播频道5,http://n2.192372.xyz:8888/rtp/239.3.1.253:8001

北京联通-组播3,#genre#
北京卫视,http://www.221111.best:8012/rtp/239.3.1.241:8000
北京卫视4K,http://www.221111.best:8012/udp/239.3.1.22:8001
北京卫视4K,http://www.221111.best:8012/rtp/239.3.1.140:8001
北京卫视4K,http://www.221111.best:8012/rtp/239.3.1.139:8001
北京卫视4K（HDR）,http://www.221111.best:8012/rtp/239.3.1.118:8001

北京IPTV4K超清,http://www.221111.best:8012/rtp/239.3.1.249:8001
北京IPTV淘BABY,http://www.221111.best:8012/rtp/239.3.1.238:8001
北京IPTV淘剧场,http://www.221111.best:8012/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://www.221111.best:8012/rtp/239.3.1.100:8001
北京IPTV淘电影,http://www.221111.best:8012/rtp/239.3.1.250:8001
北京IPTV萌宠TV,http://www.221111.best:8012/rtp/239.3.1.102:8001
北京体育休闲,http://www.221111.best:8012/rtp/239.3.1.243:8000
北京卡酷少儿,http://www.221111.best:8012/rtp/239.3.1.189:8000
北京国际频道,http://www.221111.best:8012/rtp/239.3.1.235:8000
北京影视频道,http://www.221111.best:8012/rtp/239.3.1.158:8000
北京文艺频道,http://www.221111.best:8012/rtp/239.3.1.242:8000
北京新闻频道,http://www.221111.best:8012/rtp/239.3.1.159:8000
北京生活频道,http://www.221111.best:8012/rtp/239.3.1.117:8000
北京纪实科教,http://www.221111.best:8012/rtp/239.3.1.115:8000
北京财经频道,http://www.221111.best:8012/rtp/239.3.1.116:8000

CCTV-1综合,http://www.221111.best:8012/rtp/239.3.1.129:8008
CCTV-2财经,http://www.221111.best:8012/rtp/239.3.1.60:8084
CCTV-3综艺,http://www.221111.best:8012/rtp/239.3.1.172:8001
CCTV-4中文国际,http://www.221111.best:8012/rtp/239.3.1.105:8092
CCTV-4中文国际欧洲,http://www.221111.best:8012/rtp/239.3.1.213:4220
CCTV-4中文国际美洲,http://www.221111.best:8012/rtp/239.3.1.214:4220
CCTV-5体育,http://www.221111.best:8012/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://www.221111.best:8012/rtp/239.3.1.130:8004
