# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

1-254,rtp://238.125.1.254:5140

# ===== 网段: 238.125.2.x =====
# 已有IP: 101 个, 缺失IP: 153 个
# 规律: 固定端口 5140

2-1,rtp://238.125.2.1:5140
2-2,rtp://238.125.2.2:5140
2-3,rtp://238.125.2.3:5140
2-4,rtp://238.125.2.4:5140
2-5,rtp://238.125.2.5:5140
2-6,rtp://238.125.2.6:5140
2-7,rtp://238.125.2.7:5140
2-9,rtp://238.125.2.9:5140
2-10,rtp://238.125.2.10:5140
2-11,rtp://238.125.2.11:5140
2-12,rtp://238.125.2.12:5140
2-13,rtp://238.125.2.13:5140
2-14,rtp://238.125.2.14:5140
2-15,rtp://238.125.2.15:5140
2-16,rtp://238.125.2.16:5140
2-17,rtp://238.125.2.17:5140
2-18,rtp://238.125.2.18:5140
2-19,rtp://238.125.2.19:5140
2-20,rtp://238.125.2.20:5140
2-21,rtp://238.125.2.21:5140
2-22,rtp://238.125.2.22:5140
2-23,rtp://238.125.2.23:5140
2-24,rtp://238.125.2.24:5140
2-25,rtp://238.125.2.25:5140
2-26,rtp://238.125.2.26:5140
2-27,rtp://238.125.2.27:5140
2-28,rtp://238.125.2.28:5140
2-29,rtp://238.125.2.29:5140
2-30,rtp://238.125.2.30:5140
2-31,rtp://238.125.2.31:5140
2-32,rtp://238.125.2.32:5140
2-33,rtp://238.125.2.33:5140
2-34,rtp://238.125.2.34:5140
2-35,rtp://238.125.2.35:5140
2-36,rtp://238.125.2.36:5140
2-37,rtp://238.125.2.37:5140
2-38,rtp://238.125.2.38:5140
2-39,rtp://238.125.2.39:5140
2-40,rtp://238.125.2.40:5140
2-41,rtp://238.125.2.41:5140
2-42,rtp://238.125.2.42:5140
2-43,rtp://238.125.2.43:5140
2-44,rtp://238.125.2.44:5140
2-45,rtp://238.125.2.45:5140
2-46,rtp://238.125.2.46:5140
2-47,rtp://238.125.2.47:5140
2-48,rtp://238.125.2.48:5140
2-49,rtp://238.125.2.49:5140
2-50,rtp://238.125.2.50:5140
2-51,rtp://238.125.2.51:5140
2-52,rtp://238.125.2.52:5140
2-53,rtp://238.125.2.53:5140
2-54,rtp://238.125.2.54:5140
2-55,rtp://238.125.2.55:5140
2-56,rtp://238.125.2.56:5140
2-57,rtp://238.125.2.57:5140
2-58,rtp://238.125.2.58:5140
2-59,rtp://238.125.2.59:5140
2-60,rtp://238.125.2.60:5140
2-61,rtp://238.125.2.61:5140
2-62,rtp://238.125.2.62:5140
2-63,rtp://238.125.2.63:5140
2-64,rtp://238.125.2.64:5140
2-65,rtp://238.125.2.65:5140
2-66,rtp://238.125.2.66:5140
2-67,rtp://238.125.2.67:5140
2-68,rtp://238.125.2.68:5140
2-69,rtp://238.125.2.69:5140
2-70,rtp://238.125.2.70:5140
2-71,rtp://238.125.2.71:5140
2-72,rtp://238.125.2.72:5140
2-73,rtp://238.125.2.73:5140
2-74,rtp://238.125.2.74:5140
2-75,rtp://238.125.2.75:5140
2-76,rtp://238.125.2.76:5140
2-77,rtp://238.125.2.77:5140
2-78,rtp://238.125.2.78:5140
2-79,rtp://238.125.2.79:5140
2-80,rtp://238.125.2.80:5140
2-81,rtp://238.125.2.81:5140
2-82,rtp://238.125.2.82:5140
2-83,rtp://238.125.2.83:5140
2-84,rtp://238.125.2.84:5140
2-85,rtp://238.125.2.85:5140
2-86,rtp://238.125.2.86:5140
2-87,rtp://238.125.2.87:5140
2-88,rtp://238.125.2.88:5140
2-89,rtp://238.125.2.89:5140
2-90,rtp://238.125.2.90:5140
2-91,rtp://238.125.2.91:5140
2-92,rtp://238.125.2.92:5140
2-93,rtp://238.125.2.93:5140
2-94,rtp://238.125.2.94:5140
2-95,rtp://238.125.2.95:5140
2-96,rtp://238.125.2.96:5140
2-97,rtp://238.125.2.97:5140
2-98,rtp://238.125.2.98:5140
2-99,rtp://238.125.2.99:5140
2-100,rtp://238.125.2.100:5140
2-101,rtp://238.125.2.101:5140
2-102,rtp://238.125.2.102:5140
2-103,rtp://238.125.2.103:5140
2-104,rtp://238.125.2.104:5140
2-105,rtp://238.125.2.105:5140
