# 补充IP列表 - 原文件: 湖南移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.1.0.x =====
# 已有IP: 124 个, 缺失IP: 130 个
# 规律: 固定端口 1025

1-227,rtp://239.1.1.227:1025
1-228,rtp://239.1.1.228:1025
1-229,rtp://239.1.1.229:1025
1-230,rtp://239.1.1.230:1025
1-231,rtp://239.1.1.231:1025
1-232,rtp://239.1.1.232:1025
1-233,rtp://239.1.1.233:1025
1-234,rtp://239.1.1.234:1025
1-235,rtp://239.1.1.235:1025
1-236,rtp://239.1.1.236:1025
1-237,rtp://239.1.1.237:1025
1-238,rtp://239.1.1.238:1025
1-239,rtp://239.1.1.239:1025
1-240,rtp://239.1.1.240:1025
1-241,rtp://239.1.1.241:1025
1-242,rtp://239.1.1.242:1025
1-243,rtp://239.1.1.243:1025
1-244,rtp://239.1.1.244:1025
1-245,rtp://239.1.1.245:1025
1-246,rtp://239.1.1.246:1025
1-247,rtp://239.1.1.247:1025
1-248,rtp://239.1.1.248:1025
1-249,rtp://239.1.1.249:1025
1-250,rtp://239.1.1.250:1025
1-251,rtp://239.1.1.251:1025
1-252,rtp://239.1.1.252:1025
1-253,rtp://239.1.1.253:1025
1-254,rtp://239.1.1.254:1025

# ===== 总计补充: 360 个IP =====
