河北电信-组播1,#genre#
三沙卫视,http://111.226.211.224:8188/rtp/239.254.200.165:4120
凤凰中文,http://111.226.211.224:8188/rtp/239.254.201.2:5226
凤凰资讯,http://111.226.211.224:8188/rtp/239.254.201.3:5227
凤凰电影,http://111.226.211.224:8188/rtp/239.254.201.1:5214
CCTV-风云足球,http://111.226.211.224:8188/rtp/239.254.201.222:7251
CCTV-风云音乐,http://111.226.211.224:8188/rtp/239.254.201.221:7259
CCTV-第一剧场,http://111.226.211.224:8188/rtp/239.254.201.218:7258
CCTV-怀旧剧场,http://111.226.211.224:8188/rtp/239.254.201.220:7256
CCTV-怀旧剧场,http://111.226.211.224:8188/rtp/239.254.201.220:7256上海
CCTV-风云剧场,http://111.226.211.224:8188/rtp/239.254.201.219:7257
CCTV-世界地理,http://111.226.211.224:8188/rtp/239.254.201.226:7254
CCTV-电视指南,http://111.226.211.224:8188/rtp/239.254.201.217:7250
CCTV-兵器科技,http://111.226.211.224:8188/rtp/239.254.201.225:7249
CCTV-女性时尚,http://111.226.211.224:8188/rtp/239.254.201.228:7255
CCTV-央视台球,http://111.226.211.224:8188/rtp/239.254.201.171:7176
CGTN英语,http://111.226.211.224:8188/rtp/239.254.200.12:8056
CGTN西班牙语,http://111.226.211.224:8188/rtp/239.254.201.209:4220
CGTN法语,http://111.226.211.224:8188/rtp/239.254.201.210:4220
CGTN阿拉伯语,http://111.226.211.224:8188/rtp/239.254.201.211:4220
CGTN俄语,http://111.226.211.224:8188/rtp/239.254.201.212:4220
CGTN纪录,http://111.226.211.224:8188/rtp/239.254.201.208:4220
CETV早期教育,http://111.226.211.224:8188/rtp/239.254.201.230:7253
CETV-1综合教育,http://111.226.211.224:8188/rtp/239.254.200.225:6259
CETV-2空中课堂,http://111.226.211.224:8188/rtp/239.254.200.226:6260
CETV-4职业教育,http://111.226.211.224:8188/rtp/239.254.200.227:6261
老故事,http://111.226.211.224:8188/rtp/239.254.200.104:6237
中学生,http://111.226.211.224:8188/rtp/239.254.200.113:6243
江苏优漫卡通,http://111.226.211.224:8188/rtp/239.254.201.203:7178
北京卡酷少儿,http://111.226.211.224:8188/rtp/239.254.200.91:9248
上海东方财经,http://111.226.211.224:8188/rtp/239.254.201.181:7214
上海动漫秀场,http://111.226.211.224:8188/rtp/239.254.201.165:6358
上海游戏风云,http://111.226.211.224:8188/rtp/239.254.201.163:6354
上海法治天地,http://111.226.211.224:8188/rtp/239.254.201.183:7226
上海都市剧场,http://111.226.211.224:8188/rtp/239.254.201.167:6360
上海金色学堂,http://111.226.211.224:8188/rtp/239.254.201.182:7227
上海生活时尚,http://111.226.211.224:8188/rtp/239.254.201.166:6359
河南梨园,http://111.226.211.224:8188/rtp/239.254.201.231:7228
河南武术世界,http://111.226.211.224:8188/rtp/239.254.201.224:7229
河南文物宝库,http://111.226.211.224:8188/rtp/239.254.201.227:7230
湖北快乐垂钓,http://111.226.211.224:8188/rtp/239.254.200.229:6257
湖南金鹰纪实,http://111.226.211.224:8188/rtp/239.254.200.189:6293
湖南金鹰卡通,http://111.226.211.224:8188/rtp/239.254.200.92:9252
广东嘉佳卡通,http://111.226.211.224:8188/rtp/239.254.201.201:7269
贵州天元围棋,http://111.226.211.224:8188/rtp/239.254.201.156:6270

北京卫视4K超,http://111.226.211.224:8188/rtp/239.254.201.68:6000
石家庄城市服务,http://111.226.211.224:8188/rtp/239.254.200.30:6000
石家庄文化娱乐,http://111.226.211.224:8188/rtp/239.254.200.29:6000
石家庄新闻综合,http://111.226.211.224:8188/rtp/239.254.200.157:6000
唐山公共频道,http://111.226.211.224:8188/rtp/239.254.200.169:6000
唐山影视频道,http://111.226.211.224:8188/rtp/239.254.200.168:6000
唐山新闻综合,http://111.226.211.224:8188/rtp/239.254.200.166:6000
