云南电信-组播1,#genre#
大理剑川HD,http://106.59.2.96:55555/udp/239.200.201.115:8390
大理南涧HD,http://106.59.2.96:55555/udp/239.200.200.159:8398
大理宾川HD,http://106.59.2.96:55555/udp/239.200.201.107:8350
大理巍山HD,http://106.59.2.96:55555/udp/239.200.201.147:8508
大理市电视HD,http://106.59.2.96:55555/udp/239.200.200.137:8512
大理弥渡HD,http://106.59.2.96:55555/udp/239.200.200.160:8342
大理文旅HD,http://106.59.2.96:55555/udp/239.200.201.3:8302
大理永平HD,http://106.59.2.96:55555/udp/239.200.201.108:8358
大理洱源HD,http://106.59.2.96:55555/udp/239.200.201.161:8374
大理漾濞县HD,http://106.59.2.96:55555/udp/239.200.200.190:8516
大理玉龙县HD,http://106.59.2.96:55555/udp/239.200.201.78:8244
大理祥云HD,http://106.59.2.96:55555/udp/239.200.201.169:8496
大理综合HD,http://106.59.2.96:55555/udp/239.200.201.4:8298
大理鹤庆HD,http://106.59.2.96:55555/udp/239.200.200.161:8382
德宏盈江县HD,http://106.59.2.96:55555/udp/239.200.201.46:8104
德宏综合HD,http://106.59.2.96:55555/udp/239.200.200.122:8608
德宏芒市HD,http://106.59.2.96:55555/udp/239.200.200.127:8616
德宏陇川HD,http://106.59.2.96:55555/udp/239.200.200.150:8650
迪庆综合HD,http://106.59.2.96:55555/udp/239.200.200.118:8440
迪庆藏语HD,http://106.59.2.96:55555/udp/239.200.200.149:8441

CCTV高尔夫网球,http://106.59.2.96:55555/rtp/239.200.200.89:8024
CGTN纪录,http://106.59.2.96:55555/udp/239.200.201.183:4220
CGTN西班牙语,http://106.59.2.96:55555/udp/239.200.201.184:4220
CGTN阿拉伯语,http://106.59.2.96:55555/udp/239.200.201.186:4220
channel VHD,http://106.59.2.96:55555/udp/239.200.200.131:8888
中华特产SD,http://106.59.2.96:55555/udp/239.200.201.155:8124
书法频道SD,http://106.59.2.96:55555/udp/239.200.201.133:8072
优优宝贝SD,http://106.59.2.96:55555/udp/239.200.201.173:8644
内蒙卫视,http://106.59.2.96:55555/rtp/239.200.200.57:8296
华数电影1,http://106.59.2.96:55555/udp/239.200.200.77:9016
华数电影2,http://106.59.2.96:55555/udp/239.200.200.73:9024
华数电视剧1,http://106.59.2.96:55555/rtp/239.200.200.72:9020
华数电视剧2,http://106.59.2.96:55555/udp/239.200.200.74:9012
华数电视剧3,http://106.59.2.96:55555/udp/239.200.200.11:8072
华数电视剧4,http://106.59.2.96:55555/rtp/239.200.200.78:1234
嘉佳卡通SD,http://106.59.2.96:55555/udp/239.200.200.229:8372
家有购物SD,http://106.59.2.96:55555/udp/239.200.200.228:9004
嵩明嵩明县HD,http://106.59.2.96:55555/udp/239.200.200.187:8616
收藏天下SD,http://106.59.2.96:55555/udp/239.200.201.214:8700
未识别HD,http://106.59.2.96:55555/udp/239.200.200.207:8896
澜湄国际频道,http://106.59.2.96:55555/rtp/239.200.200.33:8024
环球旅游SD,http://106.59.2.96:55555/udp/239.200.201.175:8652
生态环境SD,http://106.59.2.96:55555/udp/239.200.201.172:8648
电信宣传HD,http://106.59.2.96:55555/udp/239.200.201.151:8604
电信宣传HD,http://106.59.2.96:55555/udp/239.200.201.48:8820
