北京联通-组播1,#genre#
上海法治天地,http://www.221111.best:8012/rtp/239.3.1.204:8001
上海都市剧场,http://www.221111.best:8012/rtp/239.3.1.203:8001
上海金色学堂,http://www.221111.best:8012/rtp/239.3.1.208:8001
上海生活时尚,http://www.221111.best:8012/rtp/239.3.1.206:8001
上海纪实人文,http://www.221111.best:8012/rtp/239.3.1.212:8060
上海魅力足球,http://www.221111.best:8012/rtp/239.3.1.201:8001
江苏财富天下,http://www.221111.best:8012/rtp/239.3.1.53:9136
湖北快乐垂钓,http://www.221111.best:8012/rtp/239.3.1.164:8001
湖南茶频道,http://www.221111.best:8012/rtp/239.3.1.165:8001
湖南金鹰纪实,http://www.221111.best:8012/rtp/239.3.1.58:8156
湖南金鹰卡通,http://www.221111.best:8012/rtp/239.3.1.51:9252
广东嘉佳卡通,http://www.221111.best:8012/rtp/239.3.1.147:9268
光影,http://www.221111.best:8012/rtp/239.3.1.84:4120
睛彩羽毛球,http://www.221111.best:8012/rtp/239.3.1.127:8001

门头沟电视台,http://www.221111.best:8012/rtp/239.3.1.59:8001
房山电视台,http://www.221111.best:8012/rtp/239.3.1.96:8001
通州融媒,http://www.221111.best:8012/rtp/239.3.1.221:8001
平谷融媒[高清],http://www.221111.best:8012/rtp/239.3.1.23:8001
密云电视台,http://www.221111.best:8012/rtp/239.3.1.154:8001
延庆电视台,http://www.221111.best:8012/rtp/239.3.1.187:8001
朝阳融媒,http://www.221111.best:8012/rtp/239.3.1.163:8001
广东卫视[超清HDR],http://www.221111.best:8012/rtp/239.3.1.27:2000
深圳卫视[超清HDR],http://www.221111.best:8012/rtp/239.3.1.28:2000

4K测试,http://www.221111.best:8012/rtp/239.3.1.104:8001
BRTV 8K[8K],http://www.221111.best:8012/rtp/239.3.1.252:8001
BRTV卡酷少儿,http://www.221111.best:8012/rtp/239.3.1.120:8000
BRTV卡酷少儿,http://www.221111.best:8012/rtp/239.3.1.121:8000
BRTV生活,http://www.221111.best:8012/rtp/239.3.1.118:8000
CCTV16SDR,http://www.221111.best:8012/rtp/239.3.1.183:8001
南方卫视,http://www.221111.best:8012/rtp/239.3.1.161:8001
总平台测试1,http://www.221111.best:8012/rtp/239.3.1.247:2000
总平台测试2,http://www.221111.best:8012/rtp/239.3.1.248:2000
测试,http://www.221111.best:8012/rtp/239.3.1.103:8001
淘剧场,http://www.221111.best:8012/rtp/239.3.1.112:8001
淘娱乐,http://www.221111.best:8012/rtp/239.3.1.113:8001
淘电影,http://www.221111.best:8012/rtp/239.3.1.111:8001
淘精彩,http://www.221111.best:8012/rtp/239.3.1.178:8001
熊猫频道,http://www.221111.best:8012/rtp/239.3.1.66:8068
