安徽电信-组播1,#genre#
宿州科教频道,http://117.57.37.242:4022/rtp/238.1.78.123:6856
池州文教生活,http://117.57.37.242:4022/rtp/238.1.78.148:7056
池州新闻综合,http://117.57.37.242:4022/rtp/238.1.78.147:7048
淮北新闻综合,http://117.57.37.242:4022/rtp/238.1.78.135:6952
淮北经济生活,http://117.57.37.242:4022/rtp/238.1.78.136:6960
淮南新闻综合,http://117.57.37.242:4022/rtp/238.1.78.113:6776
淮南民生频道,http://117.57.37.242:4022/rtp/238.1.78.114:6784
滁州公共频道,http://117.57.37.242:4022/rtp/238.1.78.134:6944
滁州新闻综合,http://117.57.37.242:4022/rtp/238.1.78.132:6928
滁州科教频道,http://117.57.37.242:4022/rtp/238.1.78.133:6936
芜湖新闻综合,http://117.57.37.242:4022/rtp/238.1.78.112:6768
芜湖生活频道,http://117.57.37.242:4022/rtp/238.1.78.80:6512
蚌埠新闻综合,http://117.57.37.242:4022/rtp/238.1.78.180:7312
蚌埠生活频道,http://117.57.37.242:4022/rtp/238.1.78.181:7320
铜陵教育科技,http://117.57.37.242:4022/rtp/238.1.78.141:7000
铜陵新闻综合,http://117.57.37.242:4022/rtp/238.1.78.139:6984
阜阳教育频道,http://117.57.37.242:4022/rtp/238.1.78.126:6880
阜阳新闻综合,http://117.57.37.242:4022/rtp/238.1.78.124:6864
阜阳生活频道,http://117.57.37.242:4022/rtp/238.1.78.125:6872
阜阳都市文艺,http://117.57.37.242:4022/rtp/238.1.78.127:6888
马鞍山新闻综合,http://117.57.37.242:4022/rtp/238.1.79.15:4232
马鞍山科教生活,http://117.57.37.242:4022/rtp/238.1.78.77:6488
黄山区融媒,http://117.57.37.242:4022/rtp/238.1.78.199:7464
黄山文旅频道,http://117.57.37.242:4022/rtp/238.1.78.131:6920
黄山新闻综合,http://117.57.37.242:4022/rtp/238.1.78.130:6912

临泉新闻频道,http://117.57.37.242:4022/rtp/238.1.78.29:6160
义安新闻综合,http://117.57.37.242:4022/rtp/238.1.78.211:7560
五河新闻综合,http://117.57.37.242:4022/rtp/238.1.79.52:4528
休宁新闻综合,http://117.57.37.242:4022/rtp/238.1.79.20:4272
利辛新闻综合,http://117.57.37.242:4022/rtp/238.1.78.196:7440
