上海电信-组播1,#genre#
上海哈哈炫动,http://223.167.230.73:4022/rtp/233.18.204.7:5140
上海五星体育,http://223.167.230.73:4022/rtp/233.18.204.6:5140
上海五星体育,http://223.167.230.73:4022/rtp/233.18.204.58:5140
江苏财富天下,http://223.167.230.73:4022/rtp/233.18.204.41:5140
江苏财富天下,http://223.167.230.73:4022/rtp/233.18.204.157:5140
江苏财富天下,http://223.167.230.73:4022/rtp/233.18.204.231:5140
湖北快乐垂钓,http://223.167.230.73:4022/rtp/233.18.204.42:5140
湖南金鹰纪实,http://223.167.230.73:4022/rtp/233.18.204.104:5140
湖南金鹰卡通,http://223.167.230.73:4022/rtp/233.18.204.113:5140
湖南金鹰卡通,http://223.167.230.73:4022/rtp/233.18.204.150:5140
广东嘉佳卡通,http://223.167.230.73:4022/rtp/233.18.204.151:5140

央视精品,http://223.167.230.73:4022/rtp/233.18.204.186:5140
新闻综合,http://223.167.230.73:4022/rtp/233.18.204.57:5140
新闻综合,http://223.167.230.73:4022/rtp/233.18.204.189:5140
未知格式 SD,http://223.167.230.73:4022/rtp/233.18.204.206:5140
未知格式 SD,http://223.167.230.73:4022/rtp/233.18.204.207:5140
电信内部测试,http://223.167.230.73:4022/rtp/233.18.204.202:5140
电信内部测试 SD,http://223.167.230.73:4022/rtp/233.18.204.203:5140
节目中断 SD,http://223.167.230.73:4022/rtp/233.18.204.208:5140
节目中断 SD,http://223.167.230.73:4022/rtp/233.18.204.216:5140
都市频道,http://223.167.230.73:4022/rtp/233.18.204.2:5140
高网频道,http://223.167.230.73:4022/rtp/233.18.204.181:5140

上海电信-组播4,#genre#
东方卫视,http://home888.uttcare.com:8889/rtp/233.18.204.1:5140
东方卫视,http://home888.uttcare.com:8889/rtp/233.18.204.51:5140
东方卫视4K,http://home888.uttcare.com:8889/rtp/233.18.204.224:5140

上海教育,http://home888.uttcare.com:8889/rtp/233.18.204.11:5140
上海教育HD,http://home888.uttcare.com:8889/rtp/233.18.204.63:5140
上海都市HD,http://home888.uttcare.com:8889/rtp/233.18.204.53:5140

CCTV-风云足球,http://home888.uttcare.com:8889/rtp/233.18.204.176:5140
CCTV-风云音乐,http://home888.uttcare.com:8889/rtp/233.18.204.185:5140
CCTV-第一剧场,http://home888.uttcare.com:8889/rtp/233.18.204.184:5140
